season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,5,"00:00:50,800","00:00:55,050",4.25,1,"Here, at Cheonbugwan, we have records of all the constellations."
1,5,"00:00:55,138","00:00:58,388",3.25,2,Even the one on your birthday.
1,5,"00:00:55,138","00:00:58,388",3.25,3,Would you like to see it?
1,5,"00:00:58,475","00:01:00,135",1.66,4,"Yes, Father."
1,5,"00:01:01,019","00:01:02,559",1.54,5,All right. Let us go.
1,5,"00:01:15,116","00:01:16,366",1.25,6,There it is.
1,5,"00:01:20,497","00:01:26,377",5.88,7,My father studied stars and kept records of them as he was a constellation recorder mage at Cheonbugwan.
1,5,"00:01:39,682","00:01:40,682",1.00,8,My lady!
1,5,"00:01:40,767","00:01:41,937",1.17,9,My lady!
1,5,"00:01:51,945","00:01:54,155",2.21,10,"My lady, stay inside and do not come out."
1,5,"00:01:55,990","00:01:58,330",2.34,11,"If you see your father, run away."
1,5,"00:01:58,827","00:02:00,247",1.42,12,Do not let him catch you.
1,5,"00:02:24,853","00:02:26,193",1.34,13,Father…
1,5,"00:03:23,119","00:03:25,039",1.92,14,I will give you power.
1,5,"00:03:25,872","00:03:27,252",1.38,15,Will you come with me?
1,5,"00:03:36,507","00:03:41,756",5.25,16,"The day my father was killed by the four families of Daeho, I followed Jin Mu."
1,5,"00:03:43,097","00:03:48,515",5.42,17,I was raised as if I was cut off from the world in the deep and dangerous valleys of Danhyanggok.
1,5,"00:04:19,759","00:04:24,555",4.80,18,I do not know if I toughened up to survive or if I survived because I was tough.
1,5,"00:04:28,768","00:04:35,357",6.59,19,"By the time my past self and my father had been forgotten, I finally returned to the world as Naksu."
1,5,"00:04:40,655","00:04:42,525",1.87,20,But Naksu is dead now.
1,5,"00:04:43,241","00:04:54,093",10.85,21,"I have returned to this place as Mu-deok, along with an incapable young master who is also an unmotivated pupil."
1,5,"00:04:54,168","00:04:56,498",2.33,22,How far do we have to go?
1,5,"00:04:56,587","00:04:57,877",1.29,23,This bracelet weighs a ton.
1,5,"00:04:57,964","00:05:00,014",2.05,24,"Master, your pupil is exhausted."
1,5,"00:05:00,091","00:05:02,721",2.63,25,I am done.
1,5,"00:05:00,091","00:05:02,721",2.63,26,I am too tired to go any further.
1,5,"00:05:02,802","00:05:04,892",2.09,27,I am the one carrying all the luggage.
1,5,"00:05:04,971","00:05:07,601",2.63,28,"I am your young master, and you are my maid."
1,5,"00:05:07,682","00:05:08,932",1.25,29,That is your job.
1,5,"00:05:09,017","00:05:13,227",4.21,30,So I am your master when you are in need but your maid when you need a servant?
1,5,"00:05:13,313","00:05:14,363",1.05,31,Of course.
1,5,"00:05:18,776","00:05:22,993",4.22,32,I did not know there was a place like this right outside the city.
1,5,"00:05:23,072","00:05:26,782",3.71,33,This is a place so rugged and remote that even echoes cannot be heard.
1,5,"00:05:27,910","00:05:29,200",1.29,34,"Hence the name, Danhyanggok."
1,5,"00:05:34,542","00:05:35,842",1.30,35,I hear the echoes just fine.
1,5,"00:05:35,918","00:05:37,208",1.29,36,It was a figure of speech.
1,5,"00:05:37,295","00:05:38,705",1.41,37,The name is just a bluff.
1,5,"00:05:40,256","00:05:41,256",1.00,38,I am hungry.
1,5,"00:05:43,217","00:05:45,257",2.04,39,Up there is where I used to live.
1,5,"00:05:45,344","00:05:51,178",5.83,40,You will eat what I provide for you and sleep where you collapse after a hard day's training.
1,5,"00:05:54,479","00:05:55,899",1.42,41,What is this? I smell chicken.
1,5,"00:05:57,774","00:06:00,494",2.72,42,Do they sell chicken here?
1,5,"00:05:57,774","00:06:00,494",2.72,43,Who would sell chicken here?
1,5,"00:06:03,321","00:06:05,491",2.17,44,"You smell chicken too, right?"
1,5,"00:06:05,573","00:06:07,243",1.67,45,I am telling you. It is chicken.
1,5,"00:06:07,825","00:06:10,535",2.71,46,I am sure it is chicken. I love chicken.
1,5,"00:06:11,329","00:06:12,909",1.58,47,How did you climb up there?
1,5,"00:06:13,915","00:06:15,705",1.79,48,Someone must be cooking chicken nearby.
1,5,"00:06:15,792","00:06:17,462",1.67,49,Come on down. Why are you up there?
1,5,"00:06:26,677","00:06:27,797",1.12,50,See? It is chicken.
1,5,"00:06:27,887","00:06:30,927",3.04,51,I told you I smelled chicken.
1,5,"00:06:27,887","00:06:30,927",3.04,52,It is so nice here!
1,5,"00:06:50,493","00:06:52,373",1.88,53,Why are these things here?
1,5,"00:06:54,497","00:06:55,327",0.83,54,Mu-deok!
1,5,"00:06:56,374","00:06:58,294",1.92,55,There is even a bath here!
1,5,"00:07:07,760","00:07:08,680",0.92,56,Mu-deok.
1,5,"00:07:09,262","00:07:12,932",3.67,57,"There are tons of things to eat, and the bathtub is nice too."
1,5,"00:07:13,015","00:07:15,175",2.16,58,"Master, you had yourself a pretty nice place."
1,5,"00:07:15,268","00:07:17,518",2.25,59,Did you really have to scare your pupil like that?
1,5,"00:07:17,603","00:07:18,443",0.84,60,You are one weird…
1,5,"00:07:20,773","00:07:22,193",1.42,61,There is even a blanket.
1,5,"00:07:24,193","00:07:26,743",2.55,62,This is so soft. It is nice and comfy.
1,5,"00:07:27,613","00:07:29,033",1.42,63,These are not mine.
1,5,"00:07:30,491","00:07:32,371",1.88,64,Someone else is living here.
1,5,"00:07:37,665","00:07:38,875",1.21,65,Mu-deok.
1,5,"00:07:38,958","00:07:42,338",3.38,66,Should we eat the chicken?
1,5,"00:07:38,958","00:07:42,338",3.38,67,I noticed that it was nicely cooked.
1,5,"00:07:42,420","00:07:43,590",1.17,68,Mu-deok?
1,5,"00:07:49,343","00:07:50,763",1.42,69,Is it a man?
1,5,"00:08:12,366","00:08:13,656",1.29,70,Quiet! Stop!
1,5,"00:08:15,495","00:08:16,995",1.50,71,Stay still.
1,5,"00:08:29,425","00:08:30,425",1.00,72,Good boy.
1,5,"00:08:30,510","00:08:32,350",1.84,73,You are well-trained. Do you live here?
1,5,"00:08:33,054","00:08:34,474",1.42,74,He is not a stray dog.
1,5,"00:08:35,473","00:08:36,723",1.25,75,Where is your owner?
1,5,"00:08:37,558","00:08:39,518",1.96,76,"Hey, Fluffy. Go bring your owner."
1,5,"00:08:41,729","00:08:43,729",2.00,77,What a clever dog.
1,5,"00:08:45,858","00:08:47,398",1.54,78,Who could it be?
1,5,"00:08:47,485","00:08:52,278",4.79,79,"It cannot be one of Danju's men, seeing that this person is not trying to hide him or herself."
1,5,"00:08:54,951","00:08:56,041",1.09,80,There is tea.
1,5,"00:08:56,118","00:08:59,158",3.04,81,"We are guests, so it would not be rude to have a cup, right?"
1,5,"00:09:00,456","00:09:01,916",1.46,82,Watch what you eat or drink.
1,5,"00:09:02,708","00:09:04,748",2.04,83,We need to check who lives here first.
1,5,"00:09:04,835","00:09:06,625",1.79,84,Then we will decide what to do next.
1,5,"00:09:06,712","00:09:07,962",1.25,85,So you really have no idea?
1,5,"00:09:08,589","00:09:09,419",0.83,86,What?
1,5,"00:09:09,507","00:09:13,804",4.30,87,"There is a dog, a bunch of flowers, roasted chicken, and a pot of tea."
1,5,"00:09:13,886","00:09:15,176",1.29,88,I almost had the wrong idea.
1,5,"00:09:15,805","00:09:16,635",0.83,89,What do you mean?
1,5,"00:09:16,722","00:09:21,561",4.84,90,I almost misunderstood you for trying to kidnap and make me live with you on the pretense of training me.
1,5,"00:09:21,644","00:09:26,151",4.51,91,"If that dog wagged its tail at you, I would have thought that this was all part of your plan."
1,5,"00:09:26,232","00:09:28,362",2.13,92,This place is big enough for two or three kids.
1,5,"00:09:29,068","00:09:30,948",1.88,93,It was not like this when I lived here.
1,5,"00:09:31,529","00:09:35,579",4.05,94,"It was completely barren and perfect for training, which is why I brought you here."
1,5,"00:09:37,159","00:09:38,449",1.29,95,So just for training?
1,5,"00:09:39,787","00:09:41,157",1.37,96,Was that all you had in mind?
1,5,"00:09:41,872","00:09:45,495",3.62,97,Forget it! Go ahead and eat or drink whatever you wish and get yourself killed.
1,5,"00:09:47,336","00:09:48,166",0.83,98,Unbelievable.
1,5,"00:09:48,254","00:09:51,924",3.67,99,I cannot believe she would say that to me just because I made a joke.
1,5,"00:09:52,008","00:09:55,178",3.17,100,I was a fool to have followed her all the way here.
1,5,"00:09:55,761","00:09:56,721",0.96,101,Goodness.
1,5,"00:10:05,396","00:10:11,494",6.10,102,Just stay a clueless Young Master of the Jang family.
1,5,"00:10:13,362","00:10:17,368",4.01,103,I would rather live here than live that way.
1,5,"00:11:03,913","00:11:08,463",4.55,104,"Today, the leader of Jinyowon has gathered the mages of Daeho to hold a Unanimous Assembly."
1,5,"00:11:09,001","00:11:12,461",3.46,105,All 11 families have gathered aside from Jang Gang of the Jang family.
1,5,"00:11:12,546","00:11:16,466",3.92,106,Is my duel with Jang Uk that big of a deal?
1,5,"00:11:17,051","00:11:19,471",2.42,107,It is a duel between a royal family member and a mage.
1,5,"00:11:19,553","00:11:21,353",1.80,108,The last one was hundreds of years ago.
1,5,"00:11:21,430","00:11:26,138",4.71,109,I am merely trying to punish Jang Uk for having looked down on me.
1,5,"00:11:26,227","00:11:27,597",1.37,110,This is not a personal matter.
1,5,"00:11:28,479","00:11:31,229",2.75,111,"His Majesty gave his orders, and the mages have gathered."
1,5,"00:11:31,315","00:11:34,985",3.67,112,"If they agree to this duel, the fight will become official."
1,5,"00:11:36,779","00:11:42,577",5.80,113,A crack has formed and damaged the stability and peace that had existed between the royal family and mages.
1,5,"00:11:55,673","00:11:59,843",4.17,114,Did you really agree with depriving Uk's right to become the next Gwanju?
1,5,"00:12:01,053","00:12:02,433",1.38,115,"Yes, it is true."
1,5,"00:12:07,101","00:12:11,111",4.01,116,This duel is merely to resolve the misunderstanding between the Crown Prince and Uk.
1,5,"00:12:11,188","00:12:17,815",6.63,117,"As for the Gwanju position, I already have someone else in mind other than Jang Uk to recommend for it."
1,5,"00:12:17,903","00:12:19,743",1.84,118,Having it taken away is different from giving it up.
1,5,"00:12:20,948","00:12:24,118",3.17,119,I heard Jang Uk ran away before he even received the duel offer.
1,5,"00:12:26,328","00:12:27,708",1.38,120,How embarrassing.
1,5,"00:12:27,788","00:12:31,208",3.42,121,He should fight honorably and die as a mage with integrity.
1,5,"00:12:31,292","00:12:33,542",2.25,122,Uk does not have the guts to do that.
1,5,"00:12:34,962","00:12:37,882",2.92,123,Everyone here has been his master.
1,5,"00:12:37,965","00:12:40,585",2.62,124,Right.
1,5,"00:12:37,965","00:12:40,585",2.62,125,He never had any kind of potential.
1,5,"00:12:40,676","00:12:44,176",3.50,126,I do not wish for us mages to be disgraced like this.
1,5,"00:12:44,263","00:12:46,933",2.67,127,What if we disqualify Uk of his rights as a mage?
1,5,"00:12:50,227","00:12:57,032",6.81,128,"If we disqualify his rights followed by a unanimous vote, his energy flow will be cut off, and he will lose all his power."
1,5,"00:12:57,109","00:12:59,819",2.71,129,Are you suggesting we ruin the young man's life forever?
1,5,"00:12:59,904","00:13:01,744",1.84,130,"Still, it will help us stop the duel."
1,5,"00:13:02,656","00:13:06,906",4.25,131,Uk's gate of energy was closed anyway thanks to his father.
1,5,"00:13:06,994","00:13:08,914",1.92,132,He is right.
1,5,"00:13:06,994","00:13:08,914",1.92,133,He has a point.
1,5,"00:13:08,996","00:13:14,285",5.29,134,All of you here have once taught Uk as his master.
1,5,"00:13:17,421","00:13:22,261",4.84,135,How could you be so nonchalant about ruining the life of someone who once used to be your pupil?
1,5,"00:13:24,178","00:13:27,388",3.21,136,Songrim has accepted the royal family's duel.
1,5,"00:13:27,473","00:13:30,393",2.92,137,Songrim will take on the disgrace that may or may not occur.
1,5,"00:13:30,976","00:13:34,556",3.58,138,Then make sure it becomes an official duel between Songrim and the royal family.
1,5,"00:13:36,398","00:13:37,228",0.83,139,I will.
1,5,"00:13:38,651","00:13:41,701",3.05,140,I heard Uk mastered Ryusu in a very short amount of time.
1,5,"00:13:42,696","00:13:45,276",2.58,141,Was he taught by someone in Songrim?
1,5,"00:13:48,953","00:13:57,629",8.68,142,"No matter where he goes, whether it is Songrim or not, there will be no master for Uk."
1,5,"00:14:02,174","00:14:04,684",2.51,143,The water is nice and clean.
1,5,"00:14:02,174","00:14:04,684",2.51,144,My skin feels so soft.
1,5,"00:14:04,760","00:14:06,050",1.29,145,Maybe it is mineral water.
1,5,"00:14:06,720","00:14:10,390",3.67,146,"Mu-deok, the owner of this place seems like a very neat person."
1,5,"00:14:10,474","00:14:11,984",1.51,147,I do not think he will be back…
1,5,"00:14:15,479","00:14:16,519",1.04,148,Goodness.
1,5,"00:14:31,078","00:14:32,578",1.50,149,She is completely knocked out.
1,5,"00:14:33,205","00:14:34,825",1.62,150,"Of course, you are tired."
1,5,"00:14:34,915","00:14:37,535",2.62,151,"We could have taken our time, but you insisted on hurrying."
1,5,"00:14:37,626","00:14:40,586",2.96,152,"You are Mu-deok now, not Naksu."
1,5,"00:14:37,626","00:14:40,586",2.96,153,You do not have the strength.
1,5,"00:14:45,551","00:14:46,931",1.38,154,"Oh, gosh. This is…"
1,5,"00:14:47,761","00:14:48,801",1.04,155,This is heavy.
1,5,"00:14:48,888","00:14:50,428",1.54,156,What a fool.
1,5,"00:14:50,514","00:14:53,394",2.88,157,"If it was this heavy, she should have asked for help."
1,5,"00:15:01,275","00:15:02,735",1.46,158,It is so comfy.
1,5,"00:15:08,282","00:15:13,451",5.17,159,"I am a young master, and she is my maid. That is right."
1,5,"00:15:14,872","00:15:16,672",1.80,160,It is only right that I sleep here.
1,5,"00:15:29,762","00:15:32,472",2.71,161,"Gosh, this is making me feel uneasy."
1,5,"00:15:42,024","00:15:43,074",1.05,162,All right.
1,5,"00:15:56,288","00:15:57,368",1.08,163,Master.
1,5,"00:15:57,456","00:15:58,866",1.41,164,Please get a good night's rest.
1,5,"00:16:23,649","00:16:25,109",1.46,165,This is so uncomfortable.
1,5,"00:16:53,470","00:16:55,930",2.46,166,Are you saying there is a soul shifter inside?
1,5,"00:16:59,601","00:17:01,191",1.59,167,How interesting.
1,5,"00:17:29,048","00:17:32,931",3.88,168,I would not have recognized her without your help since her soul has no malice.
1,5,"00:17:37,765","00:17:41,845",4.08,169,You will be better off dying in my hands than to run wild and be petrified.
1,5,"00:18:09,755","00:18:12,465",2.71,170,A great soul has shifted into this body.
1,5,"00:18:13,801","00:18:18,181",4.38,171,"She should have run wild by now, judging by how weak this body looks."
1,5,"00:18:18,263","00:18:20,183",1.92,172,How is she still fine?
1,5,"00:18:28,148","00:18:31,858",3.71,173,I feel no energy around her.
1,5,"00:18:28,148","00:18:31,858",3.71,174,Where did it all disappear to?
1,5,"00:18:37,866","00:18:39,276",1.41,175,Who are you?
1,5,"00:18:41,370","00:18:43,160",1.79,176,And you are?
1,5,"00:18:43,247","00:18:45,247",2.00,177,Step away from Mu-deok.
1,5,"00:20:20,135","00:20:23,095",2.96,178,That sword was given to the Cheonbugwan's Gwanju by the king.
1,5,"00:20:23,680","00:20:24,970",1.29,179,Who are you?
1,5,"00:20:25,807","00:20:27,807",2.00,180,What are you doing with a girl like her?
1,5,"00:20:32,022","00:20:32,942",0.92,181,"Mu-deok, run!"
1,5,"00:22:00,152","00:22:02,612",2.46,182,"Hey, you are up."
1,5,"00:22:07,200","00:22:08,240",1.04,183,Who is he?
1,5,"00:22:08,327","00:22:09,617",1.29,184,The man you saw last night.
1,5,"00:22:10,996","00:22:12,246",1.25,185,The man I saw last night?
1,5,"00:22:12,331","00:22:13,541",1.21,186,Yes. Do you not remember?
1,5,"00:22:18,295","00:22:19,545",1.25,187,"Mu-deok, run!"
1,5,"00:22:55,791","00:22:57,581",1.79,188,I apologize about last night.
1,5,"00:22:57,667","00:23:02,586",4.92,189,"I saw someone inside the hut, and you suddenly wielded your sword at me, so I had no choice."
1,5,"00:23:02,672","00:23:04,012",1.34,190,I was startled too.
1,5,"00:23:04,091","00:23:06,681",2.59,191,I am not trained enough to control the energy in my arm.
1,5,"00:23:06,760","00:23:08,640",1.88,192,I had no intentions of harming you.
1,5,"00:23:08,720","00:23:11,724",3.00,193,Did you two… fight?
1,5,"00:23:15,644","00:23:17,854",2.21,194,Do you not remember anything from last night?
1,5,"00:23:19,106","00:23:20,316",1.21,195,No.
1,5,"00:23:20,398","00:23:22,938",2.54,196,You stood right there and watched us fight.
1,5,"00:23:23,026","00:23:24,276",1.25,197,I did?
1,5,"00:23:24,361","00:23:25,241",0.88,198,What?
1,5,"00:23:25,862","00:23:27,612",1.75,199,I guess you sleepwalk.
1,5,"00:23:27,697","00:23:31,277",3.58,200,I will get you medicinal herbs for that.
1,5,"00:23:27,697","00:23:31,277",3.58,201,Brew them and drink the tea.
1,5,"00:23:31,910","00:23:33,370",1.46,202,Are you a herbalist?
1,5,"00:23:33,453","00:23:37,252",3.80,203,"No, but he is staying here to pick some medicinal herbs that are only found in Danhyanggok."
1,5,"00:23:37,332","00:23:38,252",0.92,204,Call me Master Lee.
1,5,"00:23:38,834","00:23:42,956",4.12,205,"There is enough food and space for all of us, so make yourselves at home."
1,5,"00:23:46,341","00:23:47,881",1.54,206,"All right, Sapsali."
1,5,"00:23:50,178","00:23:51,558",1.38,207,Do you really not remember?
1,5,"00:23:51,638","00:23:53,638",2.00,208,Did I really sleepwalk last night?
1,5,"00:24:07,654","00:24:08,914",1.26,209,I swear I was on the floor…
1,5,"00:24:08,989","00:24:11,449",2.46,210,That soul shifter is special.
