season,episode,number_line,timecode_in,timecode_out,text
1,12,1,00:01:10:19,00:01:13:04,"People would wonder
if you suddenly disappeared."
1,12,2,00:01:13:07,00:01:15:12,Letting others witness you dying in public
1,12,3,00:01:15:14,00:01:17:19,will make things much easier.
1,12,4,00:01:19:22,00:01:21:16,I would still like to save face.
1,12,5,00:01:22:16,00:01:24:15,I hope it will not be a disgraceful death.
1,12,6,00:01:29:17,00:01:31:22,"-Master!
-My lord!"
1,12,7,00:01:35:06,00:01:36:08,What is he saying?
1,12,8,00:01:36:10,00:01:38:08,"-What happened?
-Look!"
1,12,9,00:01:39:01,00:01:40:23,Assassins!
1,12,10,00:02:10:11,00:02:12:10,Master!
1,12,11,00:02:21:02,00:02:24:07,I will be sure to use your body well.
1,12,12,00:03:17:23,00:03:18:20,Young Master.
1,12,13,00:03:22:01,00:03:24:06,"Darn it, Uk."
1,12,14,00:03:30:20,00:03:31:24,That is fine.
1,12,15,00:03:32:24,00:03:33:24,Do not come in.
1,12,16,00:03:38:21,00:03:39:19,What a shame.
1,12,17,00:03:39:21,00:03:42:11,Uk landed more blows this time.
1,12,18,00:03:42:13,00:03:44:20,"-Are there two more left?
-Yes."
1,12,19,00:03:46:04,00:03:48:11,Cha Beom will be up against him tomorrow.
1,12,20,00:03:48:12,00:03:50:12,"Darn it. I would hate
to see Uk lose to him."
1,12,21,00:03:51:04,00:03:52:14,Should I go instead?
1,12,22,00:03:53:06,00:03:55:06,"If I let Uk win,
then this will all be over."
1,12,23,00:03:55:07,00:03:56:19,I doubt that will make Uk happy.
1,12,24,00:03:57:06,00:03:59:08,This is a bet against the Crown Prince.
1,12,25,00:03:59:11,00:04:01:00,It will simply be outsmarting him.
1,12,26,00:04:04:05,00:04:06:03,"Uk may be losing, but he is improving."
1,12,27,00:04:08:05,00:04:09:05,Young Master.
1,12,28,00:04:09:07,00:04:11:24,Go to your room. Let me bring you a towel.
1,12,29,00:04:20:02,00:04:22:22,"I do not know
who the last contender will be."
1,12,30,00:04:24:22,00:04:26:21,But Uk will not be defeated that easily.
1,12,31,00:04:41:08,00:04:42:08,Uk!
1,12,32,00:04:46:13,00:04:47:19,Where is Young Master Jang?
1,12,33,00:04:48:09,00:04:49:21,You must be here for your young master.
1,12,34,00:04:50:16,00:04:51:16,"Yes, my lady."
1,12,35,00:04:52:11,00:04:54:05,You must be Mu-deok.
1,12,36,00:04:55:10,00:04:57:14,"-Yes, my lady.
-I see."
1,12,37,00:04:57:16,00:05:00:15,"You are the one
who is always by Young Master Jang's side."
1,12,38,00:05:01:05,00:05:04:10,"She must be the egret
that Maidservant Kim mentioned."
1,12,39,00:05:04:23,00:05:07:19,I am here to see him before I leave.
1,12,40,00:05:07:21,00:05:09:06,Come in. Right.
1,12,41,00:05:09:08,00:05:12:07,"I even brought some snacks.
Would you like some?"
1,12,42,00:05:13:03,00:05:14:03,"No, thank you."
1,12,43,00:05:22:16,00:05:25:19,"She is sophisticated and polite
just like Maidservant Kim said."
1,12,44,00:06:26:00,00:06:28:07,"Why are you still drenched
and standing there?"
1,12,45,00:06:30:07,00:06:31:16,"Hey, look."
1,12,46,00:06:49:11,00:06:51:02,"This is what that guy did, right?"
1,12,47,00:06:51:16,00:06:53:20,I should try it again with my sword.
1,12,48,00:06:54:18,00:06:57:15,"I thought you were dispirited
after being thrown into the lake."
1,12,49,00:06:58:12,00:07:00:10,But you were just reviewing your fight.
1,12,50,00:07:00:23,00:07:03:19,"I was downcast and embarrassed
the first couple of times."
1,12,51,00:07:03:21,00:07:05:21,"I am just mad
that I have lost eight times."
1,12,52,00:07:07:23,00:07:11:09,"You used to only wear
neatly-ironed clothes."
1,12,53,00:07:11:11,00:07:14:08,"Seeing how you are still
in those filthy, wet ones"
1,12,54,00:07:15:11,00:07:16:21,proves what you just said.
1,12,55,00:07:20:02,00:07:21:16,I am truly dirty.
1,12,56,00:07:26:20,00:07:28:20,You rushed yourself today.
1,12,57,00:07:28:22,00:07:32:05,"You should not have charged at him
when he was in defense."
1,12,58,00:07:32:08,00:07:35:07,"You should have waited for him
to put his guard down."
1,12,59,00:07:36:08,00:07:37:12,Right.
1,12,60,00:07:37:14,00:07:40:08,"Had you suddenly taken a step back
after landing those blows,"
1,12,61,00:07:40:10,00:07:43:19,"he would have been relieved,
stopped defending,"
1,12,62,00:07:43:22,00:07:45:08,and let down his guard.
1,12,63,00:07:46:02,00:07:48:03,Fighting is like a game of tug-of-war.
1,12,64,00:07:48:18,00:07:51:12,"Your opponent will pull
if you feign letting your guard down."
1,12,65,00:07:52:17,00:07:54:16,That is when you should strike.
1,12,66,00:07:56:07,00:07:58:03,"Thank you for your advice, master."
1,12,67,00:08:03:14,00:08:04:13,Where are you going?
1,12,68,00:08:06:01,00:08:08:01,I should bathe and get changed.
1,12,69,00:08:08:03,00:08:09:19,I think I am reeking as well.
1,12,70,00:08:11:04,00:08:13:09,You must be here for your young master.
1,12,71,00:08:20:22,00:08:22:05,Do not go.
1,12,72,00:08:25:22,00:08:27:22,Do not go to your room and just stay here.
1,12,73,00:08:28:18,00:08:31:07,"-I will bring you your clothes.
-What for?"
1,12,74,00:08:31:09,00:08:33:05,I can go get changed.
1,12,75,00:08:34:04,00:08:35:23,"Why would you be a fool
and tire yourself out?"
1,12,76,00:08:41:07,00:08:42:10,You are right.
1,12,77,00:08:44:12,00:08:46:02,I am just being a fool.
1,12,78,00:08:50:12,00:08:51:10,You may go.
1,12,79,00:08:56:01,00:08:57:02,Mu-deok.
1,12,80,00:08:57:05,00:08:58:15,Stop there.
1,12,81,00:09:00:11,00:09:01:12,What is it?
1,12,82,00:09:08:14,00:09:09:18,Sit down.
1,12,83,00:09:10:14,00:09:11:19,Come on.
1,12,84,00:09:17:17,00:09:19:21,"Goodness, look at your shoes.
They are drenched."
1,12,85,00:09:23:03,00:09:23:24,Why…
1,12,86,00:09:25:05,00:09:27:23,"Why would you follow me
and try to jump into the water?"
